Fold	Label	Score_0	Score
3	0	0.687672803	0.312327197
3	0	0.487970353	0.512029647
3	0	0.582850903	0.417149097
3	0	0.569274851	0.430725149
3	0	0.493965901	0.506034099
3	0	0.52774106	0.47225894
3	0	0.904184814	0.095815186
3	0	0.417526167	0.582473833
3	0	0.5	0.5
4	0	0.591656007	0.408343993
4	0	0.448998208	0.551001792
4	0	0.529252252	0.470747748
4	0	0.452475267	0.547524733
4	0	0.5	0.5
4	0	0.715971394	0.284028606
4	0	0.546260491	0.453739509
4	0	0.523795239	0.476204761
4	0	0.572258751	0.427741249
4	0	0.907304701	0.092695299
4	0	0.490425429	0.509574571
4	0	0.915932636	0.084067364
4	0	0.753535002	0.246464998
4	0	0.845875313	0.154124687
4	0	0.695546398	0.304453602
4	0	0.391827381	0.608172619
4	0	0.570631103	0.429368897
4	0	0.795004325	0.204995675
4	0	0.792656297	0.207343703
4	0	0.408983326	0.591016674
4	0	0.466711621	0.533288379
4	0	0.62682795	0.37317205
4	0	0.626009275	0.373990725
4	0	0.353108902	0.646891098
4	0	0.388545241	0.611454759
4	0	0.472082294	0.527917706
4	0	0.440449599	0.559550401
4	0	0.794781269	0.205218731
4	0	0.713927863	0.286072137
4	0	0.42140517	0.57859483
4	0	0.279882117	0.720117883
4	0	0.614555657	0.385444343
4	0	0.561056614	0.438943386
4	0	0.596199512	0.403800488
4	0	0.662951687	0.337048313
4	0	0.375782058	0.624217942
4	0	0.79808181	0.20191819
4	0	0.334245135	0.665754865
4	0	0.703954026	0.296045974
4	0	0.893642946	0.106357054
4	0	0.698919127	0.301080873
4	0	0.691467141	0.308532859
4	0	0.6605423	0.3394577
0	1	0.449751356	0.550248644
0	1	0.344790045	0.655209955
0	1	0.41955031	0.58044969
0	1	0.377839069	0.622160931
0	1	0.709557389	0.290442611
0	1	0.377796449	0.622203551
0	1	0.149795128	0.850204872
0	1	0.40048252	0.59951748
0	1	0.410331615	0.589668385
0	1	0.32575058	0.67424942
0	1	0.315873419	0.684126581
0	1	0.557406481	0.442593519
0	1	0.238654897	0.761345103
0	1	0.277649706	0.722350294
0	1	0.248249201	0.751750799
0	1	0.28675664	0.71324336
0	1	0.421614656	0.578385344
0	1	0.269860056	0.730139944
0	1	0.250092875	0.749907125
0	1	0.581902306	0.418097694
0	1	0.298823275	0.701176725
0	1	0.668065036	0.331934964
0	1	0.391203697	0.608796303
0	1	0.28678284	0.71321716
0	1	0.299051712	0.700948288
0	1	0.571928248	0.428071752
0	1	0.259569888	0.740430112
0	1	0.458390412	0.541609588
0	1	0.304814376	0.695185624
0	1	0.582097409	0.417902591
0	1	0.405090192	0.594909808
0	1	0.359473199	0.640526801
0	1	0.174735293	0.825264707
0	1	0.613043036	0.386956964
0	1	0.426210312	0.573789688
